"prefID","pref","population2020","exdeath_2016","exdeath_2017","exdeath_2018","exdeath_2019","exdeath_2020","exdeath_2021","exdeath_2022","exdeath_2023","exdeath_pop_2016","exdeath_pop_2017","exdeath_pop_2018","exdeath_pop_2019","exdeath_pop_2020","exdeath_pop_2021","exdeath_pop_2022","exdeath_pop_2023","exdeath_pop_3years"
"25","滋賀県",1413610,-2,472,108,-225,-557,501,1281,229,-0.14148173824463608,33.389690225734114,7.6400138652103475,-15.916695552521558,-39.402664101131144,35.441175430281334,90.61905334568941,16.19965902901083,86.65756467483959
"26","京都府",2578087,10,428,155,197,-495,1105,2842,244,0.38788450506131095,16.601456816624108,6.01220982845032,7.641324749707826,-19.200283000534892,42.86123780927486,110.23677633842458,9.464381923495987,133.89773114716454
"27","大阪府",8837685,-56,1967,1465,-481,-1077,4504,8092,719,-0.6336501018083356,22.256959826017788,16.576739270521635,-5.442601767318025,-12.186449279421025,50.963572474013276,91.56243971130449,8.135614700003451,130.33956290589674
"28","兵庫県",5465002,53,821,219,-35,-365,2853,4255,717,0.9698075133366831,15.02286732923428,4.007317838127049,-0.6404389239015832,-6.678863063545082,52.20492142546334,77.8590748914639,13.119848812498148,123.38513325338216
"29","奈良県",1324473,-7,406,152,-247,-361,726,1549,113,-0.5285120949992941,30.653701509959056,11.476262634270386,-18.648926780689376,-27.256123756392164,54.8142544242125,116.95217645055807,8.531695247845747,144.51030711837842
"30","和歌山県",922584,4,182,295,-239,-450,290,1433,231,0.4335648569669537,19.727200991996394,31.975408201312835,-25.905500203775482,-48.77604640878229,31.433452130104143,155.32461000841116,25.038370489841576,137.982015729733
"31","鳥取県",553407,2,99,-290,-5,-442,442,515,120,0.36139766934643036,17.889184632648305,-52.402662055232405,-0.903494173366076,-79.86888492556112,79.86888492556112,93.05989985670583,21.683860160785823,93.05989985670583
"32","島根県",671126,-9,119,-5,-64,-234,209,639,92,-1.3410298513244905,17.731394700846042,-0.7450165840691614,-9.536212276085266,-34.866776134436755,31.141693214090946,95.21311944403882,13.708305146872569,91.48803652369301
"33","岡山県",1888432,23,-18,449,-323,-509,953,2055,466,1.2179416574173707,-0.9531717318918552,23.77633931219128,-17.104137188948293,-26.95357841849746,50.46514780516323,108.8204393909868,24.67655705897803,132.33200877765256
"34","広島県",2799702,35,453,258,-332,-1579,1236,3498,580,1.2501330498745937,16.180293474091172,9.21526648193272,-11.858404930239004,-56.398859592913816,44.147555704142796,124.94186881318083,20.716490540778985,112.69056492440981
"35","山口県",1342059,-6,369,89,-58,-959,726,1434,251,-0.4470742344412578,27.495065418137354,6.631601144211991,-4.321717599598825,-71.45736513819438,54.095982367392196,106.85074203146061,18.702605474125953,89.48935926065843
"36","徳島県",719559,26,345,-201,-47,-413,611,662,194,3.6133242722278505,47.94603361225417,-27.933776104530693,-6.531778492104191,-57.3962663242347,84.91312039735449,92.0007949313399,26.96095803123858,119.51764900445968
"37","香川県",950244,13,-34,12,-80,-171,83,1104,280,1.3680696747361731,-3.5780283800792216,1.2628335459103135,-8.418890306068757,-17.995378029221968,8.734598692546335,116.18068622374885,29.46611607124065,106.91990688707321
"38","愛媛県",1334841,-8,318,2,1,-597,591,1138,345,-0.5993223162908541,23.823062072561452,0.14983057907271352,0.07491528953635676,-44.724427853204986,44.27493611598685,85.253599492374,25.845774890043085,84.80410775515585
"39","高知県",691527,6,116,-77,-102,-433,425,1161,155,0.867645081103124,16.77447156799373,-11.134778540823424,-14.749966378753108,-62.61505335294211,61.45819324480461,167.8893231934545,22.414164595164035,166.732463085317
"40","福岡県",5135214,-2,1295,64,-297,-1993,2393,4934,987,-0.038946770280654325,25.218033756723674,1.2462966489809384,-5.783595386677167,-38.81045658467203,46.59981064080289,96.08168228237422,19.220231133502907,103.87103633850508
"41","佐賀県",811442,9,275,74,-203,-323,227,1105,150,1.1091365741482446,33.890284210085255,9.119567387441123,-25.017191616899296,-39.805679272209225,27.974889147961285,136.17732382597893,18.485609569137413,124.34653370173099
"42","長崎県",1312317,-42,482,245,-272,-293,452,1201,250,-3.200446233646291,36.72893058613125,18.66926969627003,-20.72669941789979,-22.326922534722936,34.44289756209818,91.5175220621237,19.050275200275543,103.63349708949895
"43","熊本県",1738301,9,183,-601,-259,-631,866,2401,346,0.5177469264528985,10.527520837875604,-34.573989199799115,-14.899605994588969,-36.29981228797544,49.81875981202335,138.12337449037884,19.904492950300323,151.64232201442675
"44","大分県",1123852,16,174,-109,-74,-424,606,1211,364,1.423675003470208,15.48246566273851,-9.698785961140791,-6.584496891049711,-37.72738759196051,53.921690756434124,107.75440182515135,32.388606328947226,123.94870498962496
"45","宮崎県",1069576,-10,-62,-142,-303,83,442,1409,375,-0.9349499240820661,-5.79668952930881,-13.276288921965339,-28.328982699686605,7.760084369881149,41.32478664442733,131.73444430316312,35.06062215307748,180.8193153174716
"46","鹿児島県",1588256,29,197,208,-372,-733,619,1950,403,1.825902121572341,12.403541998267281,13.096125561622308,-23.42191686982451,-46.151250176294,38.973565974251,122.77617714020913,25.37374327564322,115.59849293816613
"47","沖縄県",1467480,-3,146,29,35,-412,800,1427,22,-0.20443208766047918,9.949028266143321,1.9761768473846322,2.3850410227055905,-28.075340038705807,54.515223376127786,97.24152969716793,1.499168642843514,123.68141303458991
"48","全国",126146099,186,24178,6171,-4172,-35044,51839,118169,16697,0.14744807923073389,19.16666483677787,4.891946757703542,-3.3072762717775364,-27.78048649764429,41.094413866892545,93.6763014764333,13.236239671589052,106.99022884568154
